id,stack,pattern_id,pattern_name,canonical_snippet,prohibited_idioms,best_practices
stack-go-error-wrap,go,pat-error,Error Wrapping with Context,"if err != nil { return fmt.Errorf(\"failed to load user %s: %w\", userID, err) }","return err (loses context), fmt.Errorf(\"failed: %v\", err) (destroys unwrapping)","Use %w verb so callers can inspect sentinel errors with errors.Is or custom structs with errors.As"
stack-go-worker-pool,go,concur-worker-pool,Bounded Worker Pool,"func startPool(workers int, jobs <-chan Job) { var wg sync.WaitGroup; for i := 0; i < workers; i++ { wg.Add(1); go func() { defer wg.Done(); for j := range jobs { process(j) } }() }; wg.Wait() }","Spawning go func() per request without bounds causing memory exhaustion under traffic surges","Fixed worker goroutines processing from a bounded buffered channel with WaitGroup synchronization"
stack-rust-result,rust,pat-result,Idiomatic Result with thiserror,"use thiserror::Error; #[derive(Error, Debug)] pub enum OrderError { #[error(\"insufficient stock for item {0}\")] InsufficientStock(String), #[error(transparent)] Io(#[from] std::io::Error) } pub fn process() -> Result<Order, OrderError>","Using .unwrap() in production code, panicking on invalid input","Use custom enum with thiserror; use ? operator for idiomatic error propagation"
stack-rust-typestate,rust,pat-typestate,Typestate Compile-time Machine,"pub struct Draft; pub struct Submitted; pub struct Order<State> { state: std::marker::PhantomData<State>, id: String } impl Order<Draft> { pub fn submit(self) -> Order<Submitted> { Order { state: std::marker::PhantomData, id: self.id } } }","Using runtime bool flags is_submitted that cause runtime panics if called out of order","Invalid state transitions fail to compile; zero runtime cost due to PhantomData"
stack-rust-newtype,rust,pat-value-object,Newtype Pattern for Type Safety,"#[derive(Debug, Clone, PartialEq, Eq, Hash)] pub struct UserId(pub String); impl UserId { pub fn new(id: impl Into<String>) -> Result<Self, &'static str> { let s = id.into(); if s.is_empty() { return Err(\"empty id\"); } Ok(Self(s)) } }","Passing raw String for ids, accidentally passing ProductId where UserId is expected","Compiler enforces semantic correctness; derived traits ensure zero runtime penalty"
stack-csharp-result,csharp,pat-result,Result Record Pattern,"public readonly record struct Result<T, E>(bool IsSuccess, T Value, E Error) { public static Result<T, E> Ok(T v) => new(true, v, default!); public static Result<T, E> Err(E e) => new(false, default!, e); }","Throwing exceptions for expected business branches; returning null or out error parameters","Use readonly record struct Result<T, E> or OneOf library; inspect IsSuccess for explicit error handling"
stack-csharp-primary-ctor,csharp,pat-di,Primary Constructor Injection,"public class OrderService(IOrderRepository repo, ILogger<OrderService> logger) : IOrderService { public async Task<Result> ProcessAsync(Guid id) { ... } }","ServiceLocator.Current.GetInstance<T>(); injecting IServiceProvider directly into classes","Leverage C# 12+ primary constructors for clean DI; avoid service locator anti-pattern"
stack-csharp-pattern-match,csharp,pat-discriminated-union,Exhaustive Pattern Matching,"public decimal CalculateDiscount(Customer c) => c switch { VIPCustomer { Points: > 1000 } => 0.20m, VIPCustomer => 0.10m, RegularCustomer => 0.05m, _ => throw new UnreachableException() };","Cascading if (c is VIPCustomer) else if type checks; default branches that silently swallow new types","Use switch expressions with property patterns and throw UnreachableException() on exhausted domain types"
stack-java-sealed-result,java,pat-result,Sealed Interface Result,"public sealed interface Result<T, E> permits Result.Success, Result.Failure { record Success<T, E>(T value) implements Result<T, E> {} record Failure<T, E>(E error) implements Result<T, E> {} }","Throwing checked exceptions for standard domain validation; returning null","Use sealed interface with record permits; use switch pattern matching with compiler exhaustiveness"
stack-java-constructor-di,java,pat-di,Explicit Constructor Injection,"public class OrderService { private final OrderRepository repo; private final PaymentGateway gateway; public OrderService(OrderRepository repo, PaymentGateway gateway) { this.repo = Objects.requireNonNull(repo); this.gateway = Objects.requireNonNull(gateway); } }","@Autowired on private fields without constructors; reflection-based field injection preventing unit testing","Use explicit constructor injection with final fields and Objects.requireNonNull; permits instantiation in tests without Spring test runner"
stack-java-virtual-threads,java,concur-task-group,Virtual Thread Structured Concurrency,"try (var scope = new StructuredTaskScope.ShutdownOnFailure()) { Subtask<User> u = scope.fork(() -> fetchUser(id)); Subtask<Order> o = scope.fork(() -> fetchOrders(id)); scope.join().throwIfFailed(); return new Response(u.get(), o.get()); }","Unbounded fixed thread pools (Executors.newFixedThreadPool(200)) or uncoordinated CompletableFutures","Use Java 21+ StructuredTaskScope with virtual threads; child tasks cancel automatically if one fails"
